close_time,volume,n_trades,RSI,Will,CCI,ROC,ADX,TRIX,OBV,MFI,BOP,DX,ATR,STOCH_K,STOCH_D,Price_Change_pct,PREV_TARGET,TARGET,marketcap_usd,google_trends,median_transaction_value_usd,maximum_single_transaction_value_usd,new_coins_generated,fees_usd,difficulty,number_of_blocks,VPT,PVO
2018-02-05,63403.182579,533510,16.55263705052042,-93.27435933569912,-145.64848010410648,-38.31668296151454,56.395032899567546,-2.3102686545513507,-154739.496872,11.730255145238209,-0.7054272385936969,74.10614757922318,1366.7231356253255,6.72564066430087,16.0667248683253,-0.1515894273709381,0,1.0,117184385122.0,48.38,132.59,41622475.42,2312.49999925,1205439.09,2603077300218.59,185,-13175.480690158474,5.78284195747856
2018-02-06,100201.500307,785996,28.81689702648569,-62.67081503172279,-117.81695151181884,-25.25389474589036,59.44689622954844,-2.6003899504871253,-54537.996565,9.730624949471038,0.3794003162956141,77.75807620943382,1439.761259107422,37.3291849682772,19.34248118022448,0.1026726208745999,1,0.0,130658094648.0,59.0,179.04,50058021.29,2125.0,1265084.29,2874674234415.94,170,639.2892215433258,13.775210250633124
2018-02-07,60778.460497,514893,28.45285506655281,-63.11433244367346,-47.62992295474978,-26.11642084180028,58.60867584969926,-2.778226556098762,-115316.457062,24.80734184960492,-0.0422476790926028,53.57935357060414,1423.5082220920758,36.88566755632654,21.326260283059984,-0.0073180736301146,0,1.0,128435001185.0,37.76,151.39,60741760.0,1762.5,937861.05,2874674234415.94,141,9860.145457078455,11.169162815973152
2018-02-08,1521.537318,12417,31.945121796104665,-48.63201842787216,-31.6642674737214,-15.615988691010486,57.89020123839996,-2.8206603528461938,-113794.919744,27.683935606877963,0.6804457357213803,53.57935357060415,1258.9941903646363,51.36798157212785,26.727900101328,0.0243479405184893,1,1.0,139306699929.0,31.86,118.32,102308240.02,1637.5,726816.88,2874674234415.94,131,-385.0274453742497,0.4729454867768616
2018-02-09,20482.910825,273091,46.7060953953096,-22.720702562625977,51.528890125726384,-2.1312899877493963,52.51824568868621,-2.6178821065758084,-93312.008919,38.03457569999369,0.9429596034173612,20.28651239040374,1215.4207345982595,77.27929743737403,34.85594982434756,0.1147665566952079,1,0.0,147266052809.0,27.73,167.75,86968403.06,1687.5,768299.37,2874674234415.94,135,2405.04785347946,-3.945620745923865
2018-02-10,49381.512653,537578,44.81652128562097,-24.76313765777216,89.05926590665086,-7.23894451715007,46.45551380269141,-2.3172107476627013,-142693.521572,42.09042400062516,-0.1585463849943968,10.079122486722628,1176.9006296556513,75.23686234222784,41.58914076390075,-0.0172675274904335,0,0.0,145341842785.0,23.01,121.69,77123315.73,1787.49999999,760915.75,2874674234415.94,143,1515.3608096457624,-1.8370037314858632
2018-02-11,45025.187952,524626,39.03938202641022,-32.68020758243444,38.68578520709942,-1.477493063369828,42.62336614073962,-2.059003811912352,-187718.709524,40.59409361254581,-0.5715831580483173,19.630480169028893,1126.267682561987,67.31979241756557,50.30634670831427,-0.0550867765254001,0,1.0,137064586974.0,12.25,106.115,19490440.63,1900.0,501902.41,2874674234415.94,152,-3332.8833569229,-1.3297446076574566
2018-02-12,41987.85049,477660,51.94066875538628,-5.309595957948594,91.2291252250326,28.28548744306549,37.25861869565444,-1.685486316169038,-145730.85903400002,56.59259040238109,0.8965598290598293,5.070134025143346,1099.0865850531316,94.6904040420514,62.87274147656435,0.1040673030896027,1,0.0,150513128412.0,13.3,138.425,84351546.19,2075.0,623390.53,2874674234415.94,166,1888.9748234598069,-1.5687074503223482
2018-02-13,35454.972956,401893,46.92700222912233,-27.45005924510776,68.84696085276143,11.601460506472684,32.66026374272429,-1.3511302858552954,-181185.83199000004,67.68062696947456,-0.6061769616026718,5.07013402514335,1027.6456443312557,72.54994075489225,67.90427801750936,-0.0407840053914411,0,1.0,144995984202.0,12.95,124.37,36323419.42,2050.0,585937.13,2874674234415.94,164,2923.221628473432,-2.7958335293155887
2018-02-14,40811.952867,514897,58.60987250973808,-2.0656997877455963,142.15403457143432,24.358336623239897,29.804750714025523,-0.9037239995866476,-140373.87912300002,66.12803185227112,0.9563244825423368,12.671672541832908,1017.4962665696478,97.9343002122544,76.62551125407049,0.1071823994132512,1,1.0,160131558834.0,12.6,126.59,50827618.84,2237.5,604918.41,2874674234415.94,179,2903.299872640024,-2.666378194105169
